Used_Algorithm,run_id,video_name,video_length,video_avg_bitrate_quality1,video_avg_bitrate_quality2,video_avg_bitrate_quality3,video_avg_bitrate_quality4,video_avg_bitrate_quality5,pattern_avg_throughput,pattern_timeshift,sim_avg_quality,sim_nr_of_switches,sim_nr_of_stallings,sim_avg_stalling_time,sim_total_stalling_time,sim_max_stalling_time,sim_avg_buffer_level,sim_max_buffer_level,sim_startup_nr_of_stallings,sim_startup_nr_of_switches,sim_startup_total_stalling_time,sim_endphase_nr_of_stallings,sim_endphase_nr_of_switches,sim_endphase_total_stalling_time,sim_critbuff_time,sim_lowbuff_time,sim_riskybuff_time,sim_healthybuff_time,sim_bloatedbuff_time,sim_jumps_1_levels,sim_jumps_2_levels,sim_jumps_3_levels,sim_jumps_4_levels,opt_avg_quality,opt_nr_of_switches,opt_avg_buffer_level,opt_max_buffer_level,opt_critbuff_time,opt_lowbuff_time,opt_riskybuff_time,opt_healthybuff_time,opt_bloatedbuff_time,opt_jumps_1_levels,opt_jumps_2_levels,opt_jumps_3_levels,opt_jumps_4_levels,opt_avg_quality_afull,opt_nr_of_switches_afull,buff_D,meta_alpha,meta_nn_model
KLUDCP,398894a3-a2a7-483d-8b75-9cc976265b04,C5rC8uAtiBc,363,0.096085186,0.228800705,0.013554042,0.030841653,0.045523159,0.004782795,385,4.636363636,73,0,0,0,0,16.33791209,30,0,14,0,0,2,0,2.11211258,21.86306494,173.4858109,167.2434974,0,65,5,1,2,4.790633609,1,10.85969739,29,54.37170924,203.5199973,265.9879737,93.50375021,0,1,0,0,0,4.845730028,23,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,398f5965-e47b-4b7e-aabf-884ada695252,ntkD_Iumjlo,404,0.30430631,0.528492079,0.029550832,0.065593426,0.16973697,0.006076044,378,3.349009901,106,0,0,0,0,12.17530864,18,0,11,0,0,4,0,1.190384956,33.63571434,297.7453087,95.98560344,0,100,5,1,0,3.443069307,1,27.09517923,49,31.89210986,56.55969545,79.01732765,321.5662234,0,1,0,0,0,3.512376238,86,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,3994c3e6-8ece-4a53-88c0-6fee6317b235,rrhc5-Fxo0g,345,0.292139733,0.5698416,0.036345067,0.0819888,0.150504533,0.006413133,511,3.298550725,100,0,0,0,0,11.26878613,22,0,11,0,0,1,0,1.414830986,35.39277722,307.8726034,19.00222547,0,95,4,1,0,3.507246377,2,13.6251809,26,42.92250334,91.32665787,180.7372494,156.2970432,0,2,0,0,0,3.597101449,63,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,39999f57-0f49-475e-b3e1-c7d80cbc458b,CKmVUlJ2iQg,432,0.04382284,0.09749958,0.008487185,0.030667284,0.047219321,0.003001205,161,3.828703704,97,0,0,0,0,15.83371824,30,0,9,0,0,0,0,2.041508072,49.33399083,159.486611,246.6540521,0,89,8,0,0,4.034722222,3,20.12716763,38,31.2243102,57.31032859,140.3430939,291.3504945,0,3,0,0,0,4.118055556,60,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,39a014aa-bbba-4bb3-b8ab-96b310cc6145,C5rC8uAtiBc,363,0.096085186,0.228800705,0.013554042,0.030841653,0.045523159,0.012110782,168,4.746556474,51,0,0,0,0,18.71428571,37,0,12,0,0,0,0,2.114127411,21.03486205,130.4671878,214.4094391,0,50,1,0,0,4.787878788,1,25.92984869,44,5.678867613,26.99910686,67.48070398,290.7675209,0,1,0,0,0,4.851239669,15,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,39e5eca6-720b-42bc-a24a-8b0ebed5dbfd,rrhc5-Fxo0g,345,0.292139733,0.5698416,0.036345067,0.0819888,0.150504533,0.008789616,343,3.715942029,86,0,0,0,0,11.93352601,24,0,21,0,0,1,0,1.072656724,30.7702224,290.0782635,35.3399177,0,80,4,2,0,3.852173913,1,9.263386397,24,55.80386999,208.0223059,279.8046031,60.82377999,0,1,0,0,0,3.91884058,47,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,39f6f433-760a-4c43-974c-eabaa1d904ad,GUEZCxBcM78,311,0.372617946,0.743920566,0.036694585,0.082386512,0.188185338,0.008553654,644,2.958199357,87,0,0,0,0,11.5224359,22,0,12,0,0,4,0,1.12168582,31.78875165,274.0798408,19.07692582,0,87,0,0,0,3.186495177,1,26.78812199,53,21.78936674,45.11239747,83.65910315,220.2291288,0,1,0,0,0,3.273311897,29,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,3a31c2f0-d1ed-43fc-9960-6a57b20b6eb1,IyTv_SR2uUo,296,0.390249874,0.780597622,0.037499315,0.08259445,0.213628396,0.011427344,602,2.800675676,85,0,0,0,0,12.43434343,28,0,12,0,0,4,0,1.289703152,6.643073846,268.9409119,3.2107256,0,84,1,0,0,2.945945946,2,22.85328836,40,45.67218214,83.66231713,94.9294976,189.2139187,0,0,2,0,0,3.043918919,37,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,3a3c254e-a1bf-4302-8e72-34c414cbe590,PWPmUd3w8mo,432,0.015950093,0.031656728,0.008078549,0.015245154,0.021616914,0.001391602,14,4.946759259,4,0,0,0,0,88.89376443,160,0,4,0,0,0,0,1.609951242,3.889993275,14.33723452,261.2396411,210.8684554,4,0,0,0,5,0,85.5283237,158,2.789852164,14.79548141,15.83310248,261.0209046,209.6718147,0,0,0,0,5,0,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,3a731b0e-6756-46ca-abb4-a07210241037,YddVJx4yT1E,469,0.243436896,0.477239949,0.037763821,0.083703448,0.127672677,0.00754349,504,3.23880597,109,0,0,0,0,13.18297872,24,0,13,0,0,1,0,1.224718253,34.08025022,287.3783033,161.035884,0,101,7,1,0,3.32196162,2,31.40255591,71,4.043861972,91.23680197,136.3036758,328.410804,59.08134624,2,0,0,0,3.379530917,118,10,na,Sigmoid242_Sigmoid110_Softmax5
